[2025-05-25 00:29:33,805] 17 root - INFO - Initiate the data ingestion
[2025-05-25 00:29:37,815] 57 root - INFO - Performed train test split on the dataframe
[2025-05-25 00:29:37,816] 59 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-25 00:29:37,816] 67 root - INFO - Exporting train and test file path.
[2025-05-25 00:29:37,889] 76 root - INFO - Exported train and test file path.
[2025-05-25 00:29:37,889] 19 root - INFO - Data Inititation Completed
[2025-05-25 00:29:37,895] 23 root - INFO - Initiate the data Validation
[2025-05-25 00:29:37,909] 32 root - INFO - Required number of columns:2
[2025-05-25 00:29:37,909] 33 root - INFO - Data frame has columns:10
[2025-05-25 00:29:37,912] 32 root - INFO - Required number of columns:2
[2025-05-25 00:29:37,912] 33 root - INFO - Data frame has columns:10
[2025-05-25 00:29:38,061] 25 root - INFO - Data Validation completed
[2025-05-25 00:29:38,062] 28 root - INFO - data Transformation started
[2025-05-25 00:29:38,062] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-25 00:29:38,062] 65 root - INFO - Starting data transformation
[2025-05-25 00:29:38,076] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-25 00:29:38,076] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-25 00:29:38,085] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-25 00:29:38,088] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-25 00:29:38,088] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-25 00:29:38,090] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-25 00:29:38,091] 32 root - INFO - data Transformation completed
[2025-05-25 00:29:38,091] 34 root - INFO - Model Training started
