[2025-05-24 18:24:30,389] 14 root - INFO - Initiate the data ingestion
[2025-05-24 18:24:34,531] 57 root - INFO - Performed train test split on the dataframe
[2025-05-24 18:24:34,531] 59 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-24 18:24:34,531] 67 root - INFO - Exporting train and test file path.
[2025-05-24 18:24:34,569] 76 root - INFO - Exported train and test file path.
[2025-05-24 18:24:34,569] 16 root - INFO - Data Inititation Completed
[2025-05-24 18:24:34,572] 20 root - INFO - Initiate the data Validation
[2025-05-24 18:24:34,581] 32 root - INFO - Required number of columns:2
[2025-05-24 18:24:34,581] 33 root - INFO - Data frame has columns:10
[2025-05-24 18:24:34,582] 32 root - INFO - Required number of columns:2
[2025-05-24 18:24:34,582] 33 root - INFO - Data frame has columns:10
[2025-05-24 18:24:34,641] 22 root - INFO - Data Validation completed
