[2025-05-24 22:34:56,051] 15 root - INFO - Initiate the data ingestion
[2025-05-24 22:34:59,328] 57 root - INFO - Performed train test split on the dataframe
[2025-05-24 22:34:59,328] 59 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-24 22:34:59,328] 67 root - INFO - Exporting train and test file path.
[2025-05-24 22:34:59,364] 76 root - INFO - Exported train and test file path.
[2025-05-24 22:34:59,364] 17 root - INFO - Data Inititation Completed
[2025-05-24 22:34:59,369] 21 root - INFO - Initiate the data Validation
[2025-05-24 22:34:59,378] 32 root - INFO - Required number of columns:2
[2025-05-24 22:34:59,378] 33 root - INFO - Data frame has columns:10
[2025-05-24 22:34:59,379] 32 root - INFO - Required number of columns:2
[2025-05-24 22:34:59,379] 33 root - INFO - Data frame has columns:10
[2025-05-24 22:34:59,444] 23 root - INFO - Data Validation completed
[2025-05-24 22:34:59,445] 26 root - INFO - data Transformation started
[2025-05-24 22:34:59,445] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-24 22:34:59,445] 65 root - INFO - Starting data transformation
[2025-05-24 22:34:59,455] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-24 22:34:59,455] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-24 22:34:59,459] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-24 22:34:59,461] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-24 22:34:59,461] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-24 22:34:59,462] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-24 22:34:59,462] 30 root - INFO - data Transformation completed
