[2025-05-24 23:59:09,904] 17 root - INFO - Initiate the data ingestion
[2025-05-24 23:59:13,232] 57 root - INFO - Performed train test split on the dataframe
[2025-05-24 23:59:13,232] 59 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-24 23:59:13,233] 67 root - INFO - Exporting train and test file path.
[2025-05-24 23:59:13,271] 76 root - INFO - Exported train and test file path.
[2025-05-24 23:59:13,271] 19 root - INFO - Data Inititation Completed
[2025-05-24 23:59:13,275] 23 root - INFO - Initiate the data Validation
[2025-05-24 23:59:13,283] 32 root - INFO - Required number of columns:2
[2025-05-24 23:59:13,283] 33 root - INFO - Data frame has columns:10
[2025-05-24 23:59:13,286] 32 root - INFO - Required number of columns:2
[2025-05-24 23:59:13,286] 33 root - INFO - Data frame has columns:10
[2025-05-24 23:59:13,351] 25 root - INFO - Data Validation completed
[2025-05-24 23:59:13,351] 28 root - INFO - data Transformation started
[2025-05-24 23:59:13,351] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-24 23:59:13,351] 65 root - INFO - Starting data transformation
[2025-05-24 23:59:13,360] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-24 23:59:13,360] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-24 23:59:13,365] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-24 23:59:13,366] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-24 23:59:13,366] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-24 23:59:13,367] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-24 23:59:13,367] 32 root - INFO - data Transformation completed
[2025-05-24 23:59:13,367] 34 root - INFO - Model Training started
